loss,hyperparameters,iteration,runtime
-0.9585303764063532,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=15,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': False, 'max_samples': 0.015047522707151706, 'n_estimators': 384, 'random_state': 0}",1,114.0486437799409
-0.9737140454652389,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=15,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': False, 'max_samples': 0.41531641292640153, 'n_estimators': 377, 'random_state': 0}",2,513.2225837176666
-0.9507891067459736,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=15,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': False, 'max_samples': 0.9971806074393101, 'n_estimators': 385, 'random_state': 0}",3,1031.7800005311146
-0.971720410333434,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=15,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': True, 'max_samples': 0.08434612794483998, 'n_estimators': 257, 'random_state': 0}",4,112.09876235574484
-0.9386679894928944,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='entropy',
            max_depth=52983, max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=0.0005254964145084773,
            min_samples_split=0.03703819684650395,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': True, 'max_samples': 0.9128909986901564, 'n_estimators': 40, 'random_state': 0}",5,53.24053906928748
-0.9186132871825311,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='entropy',
            max_depth=52983, max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=0.0005254964145084773,
            min_samples_split=0.03703819684650395,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': False, 'max_samples': 0.33289920954895, 'n_estimators': 87, 'random_state': 0}",6,64.29829101543874
-0.5,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='entropy',
            max_depth=52983, max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=0.0005254964145084773,
            min_samples_split=0.03703819684650395,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': True, 'max_samples': 0.012841959993639906, 'n_estimators': 414, 'random_state': 0}",7,96.90862410608679
-0.9708572665295788,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=15,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': False, 'max_samples': 0.765132965226247, 'n_estimators': 321, 'random_state': 0}",8,672.2306189024821
-0.97116142271228,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=15,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': True, 'max_samples': 0.9657971515330359, 'n_estimators': 16, 'random_state': 0}",9,28.276259540580213
-0.9156068470189643,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='entropy',
            max_depth=52983, max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=0.0005254964145084773,
            min_samples_split=0.03703819684650395,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': False, 'max_samples': 0.2695456098185224, 'n_estimators': 202, 'random_state': 0}",10,134.31997348926961
-0.9364577306966388,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='entropy',
            max_depth=52983, max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=0.0005254964145084773,
            min_samples_split=0.03703819684650395,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': True, 'max_samples': 0.7279790553172621, 'n_estimators': 102, 'random_state': 0}",11,125.62703920993954
-0.9030473346200022,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='entropy',
            max_depth=52983, max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=0.0005254964145084773,
            min_samples_split=0.03703819684650395,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': True, 'max_samples': 0.18945295876386625, 'n_estimators': 434, 'random_state': 0}",12,209.41620555799454
