loss,hyperparameters,iteration,runtime
-0.8014163579640556,"{'C': 853.7595910481147, 'fit_intercept': True, 'penalty': 'l2', 'random_state': 0}",1,9.974773856811225
-0.8014234753569778,"{'C': 33.57808294204346, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",2,57.16052346397191
-0.8014184982859867,"{'C': 626.8361415664342, 'fit_intercept': False, 'penalty': 'l2', 'random_state': 0}",3,34.80138041079044
-0.8014197910341994,"{'C': 477.31736106434, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",4,59.21897059958428
-0.8014215538982675,"{'C': 6.122329721206494, 'fit_intercept': False, 'penalty': 'l2', 'random_state': 0}",5,29.436996289528906
-0.8014215285187859,"{'C': 416.365640984113, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",6,50.08237215317786
-0.8014197325251,"{'C': 789.9959856921702, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",7,52.949995620176196
-0.8014165685620037,"{'C': 768.9914346898879, 'fit_intercept': True, 'penalty': 'l2', 'random_state': 0}",8,11.810515656135976
-0.8014176152515109,"{'C': 550.9305634626741, 'fit_intercept': False, 'penalty': 'l2', 'random_state': 0}",9,33.592843054793775
-0.8014208206575107,"{'C': 356.6155727128247, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",10,56.95264601986855
-0.8014197383732092,"{'C': 785.3974923477338, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",11,63.210838546045125
-0.8014181240410094,"{'C': 679.4070477340506, 'fit_intercept': False, 'penalty': 'l2', 'random_state': 0}",12,35.855440540239215
-0.8014298397301998,"{'C': 441.64645313555707, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",13,50.530064733698964
-0.8014181181488882,"{'C': 531.5200440101663, 'fit_intercept': False, 'penalty': 'l2', 'random_state': 0}",14,34.80579341575503
-0.8014209435058138,"{'C': 668.9378554437619, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",15,66.6776185259223
-0.8014197208248806,"{'C': 909.0971323478182, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",16,63.90997337643057
-0.8014299567123885,"{'C': 794.9690950846941, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",17,61.23472018633038
-0.8014299508642795,"{'C': 765.6457690708069, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",18,56.06143963802606
-0.8014177323457305,"{'C': 52.553837244480256, 'fit_intercept': True, 'penalty': 'l2', 'random_state': 0}",19,11.12916053365916
-0.8014226286354944,"{'C': 25.800676190534766, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",20,52.64427258819342
-0.8014299625685,"{'C': 963.218278716538, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",21,48.48856660909951
-0.8014299567183902,"{'C': 997.5535823824398, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",22,48.04378627054393
-0.8014299684166092,"{'C': 982.3958698589836, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",23,47.64274483267218
-0.8014299567183902,"{'C': 994.0539233342963, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",24,47.56648102402687
-0.8014299684146087,"{'C': 927.506784145715, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",25,49.62157840188593
-0.8014299215877237,"{'C': 207.05162163529343, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",26,54.01604022923857
-0.8014299801108269,"{'C': 899.8602591287439, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",27,48.956765483133495
-0.8014299801108269,"{'C': 881.2980373885899, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",28,48.433777295053005
-0.8014299801108269,"{'C': 892.6411008982651, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",29,48.513168051838875
-0.8014299625624984,"{'C': 860.2389997552297, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",30,48.33259995561093
-0.8014299157716234,"{'C': 703.8146351823177, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",31,56.069462235085666
-0.8014299333119498,"{'C': 269.0623412713127, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",32,55.63691983837634
-0.8014299099255148,"{'C': 587.1830540269417, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",33,50.836386892944574
-0.8014166444233777,"{'C': 616.5861807530483, 'fit_intercept': False, 'penalty': 'l2', 'random_state': 0}",34,34.58476719073951
-0.8014299625624984,"{'C': 862.7397972440251, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",35,48.36611862946302
-0.8014299333159508,"{'C': 722.004295547169, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",36,48.18669450096786
-0.8014179778102726,"{'C': 833.6622164499795, 'fit_intercept': False, 'penalty': 'l2', 'random_state': 0}",37,34.09651918709278
-0.8014299684166092,"{'C': 950.0750634371873, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",38,50.478575540706515
-0.8014292256147197,"{'C': 107.60960747217575, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",39,48.14691128581762
-0.8014178374116405,"{'C': 363.8010817245829, 'fit_intercept': False, 'penalty': 'l2', 'random_state': 0}",40,34.62491786200553
-0.8014298865210747,"{'C': 506.6107860465051, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",41,48.34047371055931
-0.8014209552040328,"{'C': 644.6753103060856, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",42,57.25103644840419
-0.8014175333139647,"{'C': 575.8116367156099, 'fit_intercept': False, 'penalty': 'l2', 'random_state': 0}",43,34.646475289948285
-0.8014197383732092,"{'C': 721.0070585044715, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",44,58.03791793901473
-0.8014176795927149,"{'C': 823.1822323026003, 'fit_intercept': False, 'penalty': 'l2', 'random_state': 0}",45,38.40947497449815
-0.801429845578309,"{'C': 446.8515463509889, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",46,61.74954118579626
-0.8014197208248806,"{'C': 893.5364931162892, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",47,63.047789830714464
-0.8014299508642795,"{'C': 766.469052882458, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",48,53.46481370460242
-0.8014182351490821,"{'C': 372.01093994090337, 'fit_intercept': False, 'penalty': 'l2', 'random_state': 0}",49,35.17180053330958
-0.8014210078510189,"{'C': 278.79286841887597, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",50,50.09023542422801
-0.8014299684146087,"{'C': 926.0261728142385, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",51,47.67352953646332
-0.8014197325251,"{'C': 741.7888555656821, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",52,53.12236007489264
-0.8014176152275043,"{'C': 802.0263861313927, 'fit_intercept': False, 'penalty': 'l2', 'random_state': 0}",53,36.11136563774198
-0.8014299508742821,"{'C': 670.9257277951054, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",54,55.31386405788362
-0.8014299099235143,"{'C': 552.2801532643463, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",55,48.485610333271325
-0.8014209435098149,"{'C': 621.769211391828, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",56,61.54199983086437
-0.8014173169319252,"{'C': 871.3002015159802, 'fit_intercept': False, 'penalty': 'l2', 'random_state': 0}",57,37.09123235568404
-0.8014298514224171,"{'C': 482.39562173848594, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",58,49.532597713172436
-0.8014299684166092,"{'C': 947.4789155651783, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",59,47.42643319442868
-0.8014211540657513,"{'C': 152.98481191113848, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",60,48.133156940340996
-0.8014299567183902,"{'C': 996.8686527128086, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",61,50.22518820129335
-0.8014172058038472,"{'C': 818.5748714252454, 'fit_intercept': False, 'penalty': 'l2', 'random_state': 0}",62,36.67037067282945
-0.8014298631226364,"{'C': 418.10016086677535, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",63,50.503991276957095
-0.8014197325251,"{'C': 750.0994881366449, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",64,54.90442255139351
-0.8014298748368598,"{'C': 318.8068524518652, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",65,52.50122169777751
-0.8014299684146087,"{'C': 902.4680245327994, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",66,52.943608900532126
-0.8014299333279542,"{'C': 689.9919240927703, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",67,50.208588767796755
-0.8014299684166092,"{'C': 975.2996008333872, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",68,50.02663404587656
-0.8014299742607172,"{'C': 832.2294460101728, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",69,54.178310950286686
-0.8014299801108269,"{'C': 880.0185308390181, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",70,52.09702412877232
-0.8014299684106074,"{'C': 879.5243696181503, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",71,49.30341046117246
-0.8014299684146087,"{'C': 924.778779650951, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",72,51.2411599624902
-0.8014299567283931,"{'C': 641.2555818559705, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",73,52.07318154908717
-0.8014299567143892,"{'C': 784.5575410930536, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",74,49.31513916980475
-0.8014299801088264,"{'C': 850.0868950733841, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",75,49.23554296977818
-0.8014299684166092,"{'C': 950.4636514149722, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",76,49.17787262890488
-0.8014299040794061,"{'C': 590.3720434568829, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",77,51.080703089013696
-0.8014166619436986,"{'C': 717.5607755193836, 'fit_intercept': False, 'penalty': 'l2', 'random_state': 0}",78,33.597301240079105
-0.8014299625664995,"{'C': 972.7999247551678, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",79,48.407077211886644
-0.8014299274678418,"{'C': 518.7549648160891, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",80,49.725233423523605
-0.8014197383752097,"{'C': 796.6894257007409, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",81,55.0339998472482
-0.8014183404410542,"{'C': 751.2142375237961, 'fit_intercept': False, 'penalty': 'l2', 'random_state': 0}",82,35.207632082514465
-0.8014299684146087,"{'C': 903.0577726512252, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",83,50.22801363654435
-0.8014299684246113,"{'C': 656.9330758307294, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",84,50.259041911922395
-0.8014196681838959,"{'C': 997.8977159869432, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",85,55.445373080670834
-0.8014174807069896,"{'C': 846.8388738423873, 'fit_intercept': False, 'penalty': 'l2', 'random_state': 0}",86,35.25019530765712
-0.8014299684146087,"{'C': 920.114933179893, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",87,56.231068316847086
-0.8014299333279542,"{'C': 690.0136213823735, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",88,49.461802513338625
-0.8014299684106074,"{'C': 875.1493970123857, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",89,49.11608664318919
-0.8014197266749903,"{'C': 812.3494022776744, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",90,56.1364865032956
-0.8014080846090543,"{'C': 0.6012942213816359, 'fit_intercept': False, 'penalty': 'l2', 'random_state': 0}",91,13.577777947299182
-0.801429915773624,"{'C': 560.1664477666072, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",92,55.149289505556226
-0.8014299333259537,"{'C': 604.0523085634907, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",93,59.7701349388808
-0.8014197325251,"{'C': 774.1907508465439, 'fit_intercept': True, 'penalty': 'l1', 'random_state': 0}",94,58.557695876806974
-0.8014299684166092,"{'C': 950.9657392170226, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",95,51.41055435221642
-0.8014170535769605,"{'C': 728.8350592872001, 'fit_intercept': False, 'penalty': 'l2', 'random_state': 0}",96,37.48559169098735
-0.8014299216217331,"{'C': 701.2126791743565, 'fit_intercept': False, 'penalty': 'l1', 'random_state': 0}",97,51.518963335081935
