loss,hyperparameters,iteration
0.9736178753359293,"{'bagging_fraction': 0.5939321535345923, 'feature_fraction': 0.7436704297351775, 'lambda_l1': 0.6027633760716439, 'lambda_l2': 0.5448831829968969, 'learning_rate': 0.4812893194050143, 'max_depth': 5.521258791466593, 'num_iterations': 275.034884505077}",0
0.9736283431478838,"{'bagging_fraction': 0.9025957007038717, 'feature_fraction': 0.9672964844509263, 'lambda_l1': 0.3834415188257777, 'lambda_l2': 0.7917250380826646, 'learning_rate': 0.5760054277776141, 'max_depth': 4.976311927657527, 'num_iterations': 470.2386553170644}",1
0.9696455047396334,"{'bagging_fraction': 0.16393245237809825, 'feature_fraction': 0.17841636973138664, 'lambda_l1': 0.02021839744032572, 'lambda_l2': 0.832619845547938, 'learning_rate': 0.8003410758548655, 'max_depth': 7.090085037727734, 'num_iterations': 491.4473368931056}",2
0.9741263799227269,"{'bagging_fraction': 0.8192427077950513, 'feature_fraction': 0.5153314260276387, 'lambda_l1': 0.7805291762864555, 'lambda_l2': 0.11827442586893322, 'learning_rate': 0.6759289191947714, 'max_depth': 2.003473011863325, 'num_iterations': 477.86756681983354}",3
0.97328628330266,"{'bagging_fraction': 0.5696634895750645, 'feature_fraction': 0.4731957459914713, 'lambda_l1': 0.26455561210462697, 'lambda_l2': 0.7742336894342167, 'learning_rate': 0.5105352989948937, 'max_depth': 4.97903764208054, 'num_iterations': 107.51592017454206}",4
0.973202293411973,"{'bagging_fraction': 0.6558719473682894, 'feature_fraction': 0.6508861504501793, 'lambda_l1': 0.6169339968747569, 'lambda_l2': 0.9437480785146242, 'learning_rate': 0.7136382691931351, 'max_depth': 3.516555304016502, 'num_iterations': 274.8127815197366}",5
0.9737503726398435,"{'bagging_fraction': 0.7278680763345383, 'feature_fraction': 0.15420292446634287, 'lambda_l1': 0.6667667154456677, 'lambda_l2': 0.6706378696181594, 'learning_rate': 0.2893443049664568, 'max_depth': 1.9024840835839731, 'num_iterations': 226.17134036967354}",6
0.973119064822938,"{'bagging_fraction': 0.42733969384836035, 'feature_fraction': 0.6131770933760917, 'lambda_l1': 0.43860151346232035, 'lambda_l2': 0.9883738380592262, 'learning_rate': 0.19184032967322528, 'max_depth': 2.4621372926638427, 'num_iterations': 164.52380715399852}",7
0.9742875714299443,"{'bagging_fraction': 0.6877974929188586, 'feature_fraction': 0.3279624422858039, 'lambda_l1': 0.4663107728563063, 'lambda_l2': 0.24442559200160274, 'learning_rate': 0.24307262528096776, 'max_depth': 1.772625988150136, 'num_iterations': 362.53183578610935}",8
0.9739489068432933,"{'bagging_fraction': 0.22436465621375243, 'feature_fraction': 0.27692412551204815, 'lambda_l1': 0.3687251706609641, 'lambda_l2': 0.8209932298479351, 'learning_rate': 0.18739114821375513, 'max_depth': 6.865614352491628, 'num_iterations': 138.43936315758523}",9
0.968239376945039,"{'bagging_fraction': 0.5992646830389793, 'feature_fraction': 0.6948132650924811, 'lambda_l1': 0.5723014283411308, 'lambda_l2': 0.2512528034005671, 'learning_rate': 0.8205530500291401, 'max_depth': 1.1025453344786778, 'num_iterations': 100.1132466097598}",10
0.9659538700624081,"{'bagging_fraction': 0.9494479660987063, 'feature_fraction': 0.950485559195678, 'lambda_l1': 0.8927275540067551, 'lambda_l2': 0.9859389200931191, 'learning_rate': 0.15060775734342668, 'max_depth': 1.0680491209429075, 'num_iterations': 427.86888251284785}",11
