loss,hyperparameters,iteration,runtime
-0.9051201671891327,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=8,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'learning_rate': 0.05847598721232028, 'n_estimators': 299, 'random_state': 0}",1,0.12390496768057346
-0.9815047021943574,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=4,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'learning_rate': 0.5578579043126557, 'n_estimators': 48, 'random_state': 0}",2,1.9156130962073803
-0.902246603970742,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=8,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'learning_rate': 0.8347730601829418, 'n_estimators': 455, 'random_state': 0}",3,0.08578219916671515
-0.9118599791013585,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=7,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'learning_rate': 0.2404177912553931, 'n_estimators': 308, 'random_state': 0}",4,0.20503740943968296
-0.9758620689655173,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=4,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'learning_rate': 0.4204411999990615, 'n_estimators': 321, 'random_state': 0}",5,10.504714088514447
-0.902246603970742,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=8,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'learning_rate': 0.8206945561179385, 'n_estimators': 17, 'random_state': 0}",6,0.11527235247194767
-0.932810867293626,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=6,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'learning_rate': 0.17424765489341643, 'n_estimators': 181, 'random_state': 0}",7,0.12636396382004023
-0.9371995820271684,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=6,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'learning_rate': 0.24634936545497, 'n_estimators': 225, 'random_state': 0}",8,1.820230070501566
-0.9042842215256008,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=7,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'learning_rate': 0.4737115349198757, 'n_estimators': 116, 'random_state': 0}",9,0.1355494260787964
-0.909926854754441,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=7,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'learning_rate': 0.040151653311266355, 'n_estimators': 207, 'random_state': 0}",10,0.12722809799015522
