loss,hyperparameters,iteration,runtime
-0.5,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='entropy',
            max_depth=448.2261637557397, max_features=None,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min_impurity_split=None, min_samples_leaf=1,
            min_samples_split=0.08852350974712808,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': False, 'max_samples': 0.01978498323230804, 'n_estimators': 465, 'random_state': 0}",1,2.6508211460895836
-0.9885579937304076,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=15,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': False, 'max_samples': 0.33967074125245456, 'n_estimators': 252, 'random_state': 0}",2,2.2313142977654934
-0.9874085684430511,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=15,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': False, 'max_samples': 0.6558054011769294, 'n_estimators': 181, 'random_state': 0}",3,2.9722369760274887
-0.9885579937304076,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=15,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': True, 'max_samples': 0.8971670983263145, 'n_estimators': 365, 'random_state': 0}",4,5.319042764604092
-0.9829676071055381,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='entropy',
            max_depth=448.2261637557397, max_features=None,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min_impurity_split=None, min_samples_leaf=1,
            min_samples_split=0.08852350974712808,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': False, 'max_samples': 0.533602199619265, 'n_estimators': 381, 'random_state': 0}",5,5.573937245644629
-0.9842215256008361,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='entropy',
            max_depth=448.2261637557397, max_features=None,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min_impurity_split=None, min_samples_leaf=1,
            min_samples_split=0.08852350974712808,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': False, 'max_samples': 0.29306290427676174, 'n_estimators': 498, 'random_state': 0}",6,4.786703209858388
-0.9856844305120168,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='entropy',
            max_depth=448.2261637557397, max_features=None,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min_impurity_split=None, min_samples_leaf=1,
            min_samples_split=0.08852350974712808,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': True, 'max_samples': 0.343053553317743, 'n_estimators': 392, 'random_state': 0}",7,3.0693124919198453
-0.978735632183908,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='entropy',
            max_depth=448.2261637557397, max_features=None,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min_impurity_split=None, min_samples_leaf=1,
            min_samples_split=0.08852350974712808,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': False, 'max_samples': 0.9929752471752781, 'n_estimators': 153, 'random_state': 0}",8,3.7677266816608608
-0.980146290491118,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='entropy',
            max_depth=448.2261637557397, max_features=None,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min_impurity_split=None, min_samples_leaf=1,
            min_samples_split=0.08852350974712808,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': False, 'max_samples': 0.903562705781284, 'n_estimators': 219, 'random_state': 0}",9,6.104880874045193
-0.971630094043887,"{'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=15,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'), 'bootstrap': False, 'max_samples': 0.005592149810816349, 'n_estimators': 59, 'random_state': 0}",10,0.5654683872126043
