loss,hyperparameters,iteration
0.9896896037823115,"{'bagging_fraction': 0.5939321535345923, 'feature_fraction': 0.7436704297351775, 'lambda_l1': 0.6027633760716439, 'lambda_l2': 0.5448831829968969, 'learning_rate': 0.4812893194050143, 'max_depth': 5.521258791466593, 'num_iterations': 275.034884505077}",0
0.9894597187248403,"{'bagging_fraction': 0.9025957007038717, 'feature_fraction': 0.9672964844509263, 'lambda_l1': 0.3834415188257777, 'lambda_l2': 0.7917250380826646, 'learning_rate': 0.5760054277776141, 'max_depth': 4.976311927657527, 'num_iterations': 470.2386553170644}",1
0.9865480697306589,"{'bagging_fraction': 0.16393245237809825, 'feature_fraction': 0.17841636973138664, 'lambda_l1': 0.02021839744032572, 'lambda_l2': 0.832619845547938, 'learning_rate': 0.8003410758548655, 'max_depth': 7.090085037727734, 'num_iterations': 491.4473368931056}",2
0.9901223084433937,"{'bagging_fraction': 0.8192427077950513, 'feature_fraction': 0.5153314260276387, 'lambda_l1': 0.7805291762864555, 'lambda_l2': 0.11827442586893322, 'learning_rate': 0.6759289191947714, 'max_depth': 2.003473011863325, 'num_iterations': 477.86756681983354}",3
0.986243726125015,"{'bagging_fraction': 0.5696634895750645, 'feature_fraction': 0.4731957459914713, 'lambda_l1': 0.26455561210462697, 'lambda_l2': 0.7742336894342167, 'learning_rate': 0.5105352989948937, 'max_depth': 4.97903764208054, 'num_iterations': 107.51592017454206}",4
0.9871323751934268,"{'bagging_fraction': 0.6558719473682894, 'feature_fraction': 0.6508861504501793, 'lambda_l1': 0.6169339968747569, 'lambda_l2': 0.9437480785146242, 'learning_rate': 0.7136382691931351, 'max_depth': 3.516555304016502, 'num_iterations': 274.8127815197366}",5
0.9897365971758283,"{'bagging_fraction': 0.7278680763345383, 'feature_fraction': 0.15420292446634287, 'lambda_l1': 0.6667667154456677, 'lambda_l2': 0.6706378696181594, 'learning_rate': 0.2893443049664568, 'max_depth': 1.9024840835839731, 'num_iterations': 226.17134036967354}",6
0.9907497244919519,"{'bagging_fraction': 0.42733969384836035, 'feature_fraction': 0.6131770933760917, 'lambda_l1': 0.43860151346232035, 'lambda_l2': 0.9883738380592262, 'learning_rate': 0.19184032967322528, 'max_depth': 2.4621372926638427, 'num_iterations': 164.52380715399852}",7
0.98640806025204,"{'bagging_fraction': 0.6877974929188586, 'feature_fraction': 0.3279624422858039, 'lambda_l1': 0.4663107728563063, 'lambda_l2': 0.24442559200160274, 'learning_rate': 0.24307262528096776, 'max_depth': 1.772625988150136, 'num_iterations': 362.53183578610935}",8
0.9867444941215432,"{'bagging_fraction': 0.22436465621375243, 'feature_fraction': 0.27692412551204815, 'lambda_l1': 0.3687251706609641, 'lambda_l2': 0.8209932298479351, 'learning_rate': 0.18739114821375513, 'max_depth': 6.865614352491628, 'num_iterations': 138.43936315758523}",9
0.9906958219846856,"{'bagging_fraction': 0.5917559256742367, 'feature_fraction': 0.13633331029892629, 'lambda_l1': 0.039660586350596105, 'lambda_l2': 0.4970047031319833, 'learning_rate': 0.971741850504242, 'max_depth': 1.2333044450983155, 'num_iterations': 499.95586814581026}",10
0.9833379013424237,"{'bagging_fraction': 0.6785218859621907, 'feature_fraction': 0.2809480496607808, 'lambda_l1': 0.34177008013815846, 'lambda_l2': 0.8391943935421666, 'learning_rate': 0.3461524106034113, 'max_depth': 1.1000295947347078, 'num_iterations': 499.9270577286161}",11
0.989969965340231,"{'bagging_fraction': 0.9345798735555026, 'feature_fraction': 0.8553338673911587, 'lambda_l1': 0.39666329426346036, 'lambda_l2': 0.44154969927784793, 'learning_rate': 0.5261990303864869, 'max_depth': 1.0294478933025148, 'num_iterations': 100.06088569621872}",12
0.9845392877331826,"{'bagging_fraction': 0.6810206282163502, 'feature_fraction': 0.6056011059272115, 'lambda_l1': 0.07006657638136404, 'lambda_l2': 0.5332309223029116, 'learning_rate': 0.8124477131402412, 'max_depth': 1.1381412940074114, 'num_iterations': 100.0183679996816}",13
0.9865337376021378,"{'bagging_fraction': 0.5505283648406252, 'feature_fraction': 0.8899664645332933, 'lambda_l1': 0.7450634052489056, 'lambda_l2': 0.6449165253771373, 'learning_rate': 0.4384593987701555, 'max_depth': 7.809690378604532, 'num_iterations': 499.95276343516866}",14
0.9882213314604495,"{'bagging_fraction': 0.3016789913433238, 'feature_fraction': 0.5931346431112584, 'lambda_l1': 0.3194460769579468, 'lambda_l2': 0.709747396362449, 'learning_rate': 0.8492686903908171, 'max_depth': 7.950971205094677, 'num_iterations': 100.0449752194585}",15
0.9899900074801149,"{'bagging_fraction': 0.6971955183634005, 'feature_fraction': 0.7535089500093094, 'lambda_l1': 0.046734406871356216, 'lambda_l2': 0.00867909424817348, 'learning_rate': 0.24414019054250663, 'max_depth': 1.133918773871565, 'num_iterations': 100.10534717532593}",16
0.9685597923839868,"{'bagging_fraction': 0.11804256805197955, 'feature_fraction': 0.11420294176868885, 'lambda_l1': 0.13013739522434153, 'lambda_l2': 0.30343881162743214, 'learning_rate': 0.9913213379104112, 'max_depth': 7.9400771213707175, 'num_iterations': 100.49804991178033}",17
0.9801220229428257,"{'bagging_fraction': 0.6806832098037585, 'feature_fraction': 1.0, 'lambda_l1': 0.3548077898962307, 'lambda_l2': 0.0, 'learning_rate': 1.0, 'max_depth': 1.6914570186307074, 'num_iterations': 415.3054285306203}",18
0.989864958231267,"{'bagging_fraction': 0.1910536955537001, 'feature_fraction': 0.9460923027275145, 'lambda_l1': 0.08322836185617799, 'lambda_l2': 0.9427949601404917, 'learning_rate': 0.19471121044442624, 'max_depth': 7.803593966467398, 'num_iterations': 212.260223656931}",19
0.9910558953012316,"{'bagging_fraction': 0.8816663030454032, 'feature_fraction': 0.9989486031334673, 'lambda_l1': 0.22429049608535578, 'lambda_l2': 0.11616638865642603, 'learning_rate': 0.2332171904840251, 'max_depth': 7.885561112668393, 'num_iterations': 326.5400750619966}",20
0.9880028664257041,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 0.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 8.0, 'num_iterations': 100.0}",21
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 1.0, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 1.0, 'num_iterations': 122.9426729092293}",22
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 1.0, 'lambda_l1': 0.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 8.0, 'num_iterations': 152.47359170270596}",23
0.9871585270454688,"{'bagging_fraction': 1.0, 'feature_fraction': 0.1, 'lambda_l1': 1.0, 'lambda_l2': 0.0, 'learning_rate': 1.0, 'max_depth': 1.0, 'num_iterations': 183.6146135780259}",24
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 0.1, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 8.0, 'num_iterations': 389.0587892277329}",25
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 0.1, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 1.0, 'max_depth': 1.0, 'num_iterations': 439.7318583694979}",26
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 0.1, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 1.0, 'max_depth': 1.0, 'num_iterations': 300.84458728343407}",27
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 1.0, 'lambda_l1': 0.0, 'lambda_l2': 1.0, 'learning_rate': 1.0, 'max_depth': 8.0, 'num_iterations': 252.5783273388598}",28
0.9870824125940011,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 1.0, 'max_depth': 8.0, 'num_iterations': 344.80836823065493}",29
