business_id,name,categories,avg_stars
Pd52CjgyEU3Rb8co6QfTPw,Flight Deck Bar & Grill,"['Nightlife', 'Bars', 'Barbeque', 'Sports Bars', 'American (New)', 'Restaurants']",4.0
4srfPk1s8nlm1YusyDUbjg,Subway,"['Fast Food', 'Restaurants', 'Sandwiches']",2.5
n7V4cD-KqqE3OXk0irJTyA,GameWorks,"['Arcades', 'Arts & Entertainment', 'Gastropubs', 'Restaurants', 'American (New)']",3.0
F0fEKpTk7gAmuSFI0KW1eQ,Cafe Mastrioni,"['Italian', 'Restaurants']",1.5
Wpt0sFHcPtV5MO9He7yMKQ,McDonald's,"['Restaurants', 'Fast Food', 'Burgers']",2.0
W1Yr6c2XDx_RBjb6WsV-aQ,Divine Cafe at the Springs Preserve,"['Restaurants', 'Cafes', 'American (New)', 'Bars', 'Nightlife', 'Wine Bars']",4.0
vzx1WdVivFsaN4QYrez2rw,Subway,"['Sandwiches', 'Restaurants', 'Fast Food']",3.0
Uy3_5nLo3sYkAuSX6mjdmg,Geebee's Bar & Grill,"['Restaurants', 'American (Traditional)']",4.5
dPxZI9lrKTl5dvFfnb1_Ig,Trattoria Italia,"['Seafood', 'Italian', 'Pizza', 'Restaurants']",4.5
WfB_SsYeKy83QQsqAAyGVQ,Cancun Bar & Grill,"['Karaoke', 'Bars', 'Mexican', 'Restaurants', 'Nightlife', 'Dance Clubs']",4.5
u29lf2yPd-qK5ThAS9FRQQ,Kinthai,"['Restaurants', 'Thai']",4.5
KYEZATGRY5aD69ZR6VvyWQ,North Forty Saloon and BBQ,"['Dance Clubs', 'Nightlife', 'Restaurants', 'Barbeque', 'American (Traditional)']",3.5
W8GVfGILy7an385lZSEvSw,Burger King,"['Burgers', 'Restaurants']",2.0
wRmPV-RvcqcjeyUeOaJQCg,The Bass Cafe Grill & Terrace,"['Restaurants', 'American (Traditional)', 'Food', 'Coffee & Tea', 'Salad', 'Breakfast & Brunch']",2.5
EgGdnaotJpPvxCFyZPJeUw,Pizza Hut,"['Restaurants', 'Pizza']",2.0
AfL8Ds7ex73tfVbq3EFWKg,Baja Fresh,"['Restaurants', 'Mexican']",5.0
WMj5Uj04pAqFxLMnJQcQqw,Panda Express,"['Restaurants', 'Fast Food', 'Chinese']",2.5
RGmBfqdFb0giLPG-SZbQUQ,Christy Candy Shop,"['Food', 'Restaurants', 'Specialty Food', 'Mexican', 'Candy Stores', 'Ice Cream & Frozen Yogurt']",3.0
NoSj3hV8Rlz_gUsOL4_EjQ,Jack's Pub,"['Nightlife', 'Pubs', 'Restaurants', 'Irish', 'Bars']",2.5
SlelFNxQz5PJbl6kkjI0OA,Makino,"['Restaurants', 'Japanese']",3.0
sUMi2q41l4AzOsmJMRY8zQ,Del Mar Deli,"['Delis', 'Sandwiches', 'Restaurants', 'Breakfast & Brunch']",3.5
_ewxwEwJM-IYfIYnKpQOZw,Mexicali Raspados,"['Restaurants', 'Ice Cream & Frozen Yogurt', 'Shaved Ice', 'Hot Dogs', 'Food']",4.5
EEePiBwchl-TIBVcTdE0RA,McDonald's,"['Burgers', 'Fast Food', 'Restaurants']",2.0
yIZROHhe6hfmmzLCtTIEJQ,Tootie's Place,"['Restaurants', 'Fast Food', 'Creperies']",2.0
KhWl4Mwhm_Oqq0zIIz-0wQ,Carnival World & Seafood Buffet,"['Buffets', 'Seafood', 'Restaurants']",2.5
v0byOL8VL6v6muGa1anxFA,The Hummus Factory,"['Event Planning & Services', 'Caterers', 'Burgers', 'Greek', 'Restaurants', 'Middle Eastern', 'Mediterranean']",4.5
aNe8ofTYrealxqv7VtFTuw,Sierra Gold,"['American (New)', 'Restaurants', 'Pubs', 'Nightlife', 'Sports Bars', 'Bars', 'Food', 'Pizza', 'Breweries']",3.5
pidpBdWsOFfe7pWypBIoiQ,Miga Korean Bistro,"['Hawaiian', 'Asian Fusion', 'Restaurants', 'Korean']",4.0
PgJgpW4TKQ8IoALH2Yq-zA,Bayside Buffet at Mandalay Bay,"['Arts & Entertainment', 'Restaurants', 'Buffets', 'American (Traditional)', 'Casinos']",3.0
w55IYhyLHUdsRlo_EvMmNQ,Table 89,"['Salad', 'Sandwiches', 'Restaurants', 'American (New)', 'Pizza']",3.0
7kO8bObVGFa-T3mj6PVYsg,Quiznos,"['Restaurants', 'Sandwiches']",5.0
hJX8WoV-KbFVHojZ6i83Cg,Quiznos,"['Sandwiches', 'Fast Food', 'Restaurants', 'Delis']",3.5
gwYt_q3Ob7aQJIefIBsZiQ,Raising Cane's,"['Fast Food', 'Chicken Shop', 'American (Traditional)', 'Chicken Wings', 'Restaurants']",4.0
kiU9C58n7dgygdrpjOQXMQ,Los Jarochos Restaurant,"['Restaurants', 'Mexican']",4.0
bAdwf-n52f46-ZjlfJ1Hwg,Roberto's Taco Shop,"['Fast Food', 'Mexican', 'Restaurants']",2.5
ijg7qQCYnhUWBd5JUxbfvA,Roxy's Diner,"['Restaurants', 'Burgers', 'Breakfast & Brunch', 'Diners', 'Food', 'Desserts']",3.0
